Season,State,Annual_Rainfall,Pesticide,Yield,Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius at 2 Meters,Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
Whole Year ,Assam,2051.4,22882.34,0.796086957,West,Sandy,Cotton,897.0772391,27.67696637,17.72,83.4,FALSE,TRUE,Cloudy,122,6.555816258
Kharif     ,Assam,2051.4,2057.47,0.710434783,South,Clay,Rice,992.6732816,18.02614225,17.54,82.11,TRUE,TRUE,Rainy,140,8.527340906
Kharif     ,Assam,2051.4,246.76,0.238333333,North,Loam,Barley,147.9980253,29.79404242,17.81,82.79,FALSE,FALSE,Sunny,106,1.127443336
Whole Year ,Assam,2051.4,6093.36,5238.051739,North,Sandy,Soybean,986.8663313,16.64419019,17.61,85.07,FALSE,TRUE,Rainy,146,6.517572508
Kharif     ,Assam,2051.4,539.09,0.420909091,South,Silt,Wheat,730.3791744,31.62068737,17.61,84.12,TRUE,TRUE,Cloudy,110,7.248251218
Whole Year ,Assam,2051.4,4211.97,0.643636364,South,Silt,Soybean,797.4711824,37.70497447,17.7,84.54,FALSE,TRUE,Rainy,74,5.898416312
Rabi       ,Assam,2051.4,923.49,0.465454545,West,Clay,Wheat,357.9023572,31.59343139,18.09,84.63,FALSE,FALSE,Rainy,90,2.652391665
Kharif     ,Assam,2051.4,29301.2,9.919565217,South,Sandy,Rice,441.1311536,30.887107,18.3,85.43,TRUE,TRUE,Sunny,61,5.829542349
Rabi       ,Assam,2051.4,3130.38,0.461363636,North,Silt,Wheat,181.5878606,26.75272858,17.8,84.36,TRUE,FALSE,Sunny,127,2.943716457
Kharif     ,Assam,2051.4,5956.96,0.615652174,West,Sandy,Wheat,395.0489683,17.64619896,17.94,83.43,FALSE,TRUE,Rainy,140,3.707293127
Kharif     ,Assam,2051.4,1833.65,4.568947368,North,Peaty,Wheat,385.1353145,21.65619173,18.03,84.39,FALSE,FALSE,Sunny,73,2.56444246
Whole Year ,Assam,2051.4,3073.34,0.482352941,East,Sandy,Cotton,145.3006808,19.75553499,18.01,84.24,TRUE,TRUE,Cloudy,141,4.367612094
Whole Year ,Assam,2051.4,2427.92,2.342608696,South,Peaty,Cotton,607.150252,15.5621633,18.15,85.33,TRUE,TRUE,Sunny,136,6.52518616
Rabi       ,Assam,2051.4,33572.07,0.520869565,East,Clay,Barley,929.1237352,29.67730314,18.19,85.45,FALSE,TRUE,Rainy,134,6.493030752
Whole Year ,Assam,2051.4,23330.29,7.561304348,North,Peaty,Barley,621.7783877,26.84317298,18.38,85.77,TRUE,FALSE,Rainy,77,4.573219248
Rabi       ,Assam,2051.4,86580.52,0.554782609,East,Chalky,Rice,874.4567441,27.25686896,18.18,85.76,TRUE,FALSE,Sunny,115,5.839291311
Autumn     ,Assam,2051.4,188280.98,0.780869565,East,Peaty,Wheat,787.0843057,25.67291966,18.2,84.36,FALSE,FALSE,Cloudy,68,4.36688061
Summer     ,Assam,2051.4,54241.94,1.060434783,North,Clay,Cotton,416.8986316,23.19081003,18.7,84.03,TRUE,TRUE,Sunny,95,4.85892438
Winter     ,Assam,2051.4,540429.51,0.941304348,North,Sandy,Barley,977.2590831,17.60409957,18.24,86.04,FALSE,TRUE,Sunny,93,5.778099045
Whole Year ,Assam,2051.4,4887.15,0.487391304,South,Clay,Maize,888.2076303,39.94550938,18.31,85.98,TRUE,FALSE,Rainy,76,7.173036677
